abandon	GIVE-UP_ABOLISH_ABANDON	DISCARD	CHANGE_SWITCH
creak	MAKE-A-SOUND
cream	DEFEAT
crease	PRESS_PUSH_FOLD
create	MOUNT_ASSEMBLE_PRODUCE
credit	ADD	ASCRIBE
creep	TRAVEL	MOVE-ONESELF
crest	REACH
criminalize	PRECLUDE_FORBID_EXPEL
crimp	ROLL
cringe	MOVE-BACK
cripple	HURT_HARM_ACHE
crisscross	OVERCOME_SURPASS
criticize	CRITICIZE
croak	KILL
croon	SING
crop	APPEAR
cross	REACH	CAUSE-MENTAL-STATE	CANCEL_ELIMINATE	OVERLAP
crouch	LOWER
crow	ENJOY
crowd	FILL	ARRIVE
crown	COVER_SPREAD_SURMOUNT
crucify	KILL
cruise	TRAVEL	SEARCH
crumble	BREAK_DETERIORATE
crumple	PRESS_PUSH_FOLD
crunch	BREAK_DETERIORATE
crush	BREAK_DETERIORATE
cry	CRY	SPEAK
crystallize	CHANGE-APPEARANCE/STATE
cuff	HIT
culminate	REACH
cultivate	INCREASE_ENLARGE_MULTIPLY
cum	EXCRETE
curb	REDUCE_DIMINISH
cure	PRESERVE	HELP_HEAL_CARE_CURE
curl	ROLL
curry	FLATTER
curse	OFFEND_DISESTEEM
curtail	REDUCE_DIMINISH
curve	BEND
cushion	PROTECT
customize	ADJUST_CORRECT
cut	ORGANIZE	CUT	REDUCE_DIMINISH	REMOVE_TAKE-AWAY_KIDNAP	LIBERATE_ALLOW_AFFORD
cycle	MOVE-BY-MEANS-OF
dab	TOUCH
dabble	WORK
damage	BREAK_DETERIORATE
damn	BEWITCH
damp	WEAKEN
dampen	WEAKEN
dance	DANCE	GO-FORWARD
dandle	TOUCH
dangle	HANG
dare	BEHAVE
darken	DIM
dash	DESTROY	RUN
date	LOCATE-IN-TIME_DATE	COURT
daub	COVER_SPREAD_SURMOUNT
daunt	CAUSE-MENTAL-STATE
dawdle	BEHAVE
dawn	UNDERSTAND	BEGIN
dazzle	CAUSE-MENTAL-STATE
de-nuclearize	CANCEL_ELIMINATE
deactivate	SWITCH-OFF_TURN-OFF_SHUT-DOWN
deafen	HURT_HARM_ACHE
deal	FACE_CHALLENGE	CIRCULATE_SPREAD_DISTRIBUTE
debate	DISCUSS
debauch	DEBASE_ADULTERATE
debit	RECORD
debug	ADJUST_CORRECT
debunk	PROVE
debut	SHOW
decapitate	KILL
decay	BREAK_DETERIORATE
decease	KILL
deceive	DECEIVE
decelerate	SLOW-DOWN
decentralize	CIRCULATE_SPREAD_DISTRIBUTE
decide	DECIDE_DETERMINE
decimate	KILL
deck	EMBELLISH
declare	DECREE_DECLARE	SPEAK
declassify	LIBERATE_ALLOW_AFFORD
decline	REDUCE_DIMINISH	REFUSE
decode	INTERPRET
decommission	RECALL
decompose	DESTROY
decontaminate	WASH_CLEAN
decorate	EMBELLISH
decrease	REDUCE_DIMINISH
decree	DECREE_DECLARE
decry	DISLIKE
dedicate	FOCUS
deduct	REMOVE_TAKE-AWAY_KIDNAP
deem	BELIEVE
deemphasize	DEBASE_ADULTERATE
deepen	INCREASE_ENLARGE_MULTIPLY
deescalate	REDUCE_DIMINISH
defame	OFFEND_DISESTEEM
default	FAIL_LOSE
defeat	DEFEAT
defect	BETRAY
defend	PROTECT
defer	GIVE-UP_ABOLISH_ABANDON	DELAY
defile	DIRTY
define	REPRESENT
deflate	REDUCE_DIMINISH
deflect	ABSTAIN_AVOID_REFRAIN
deform	SHAPE
defraud	STEAL_DEPRIVE
defray	PAY
defuse	REMOVE_TAKE-AWAY_KIDNAP
defy	RESIST
degenerate	WORSEN
degrade	DEBASE_ADULTERATE
delay	DELAY
delegate	ASSIGN-smt-to-smn
delete	CANCEL_ELIMINATE
deliberate	DISCUSS
delight	CAUSE-MENTAL-STATE	SPEAK	LIKE
delineate	SHOW
deliver	CARRY_TRANSPORT
delouse	REMOVE_TAKE-AWAY_KIDNAP
delude	DECEIVE
delve	EXTRACT
demagogue	SPEAK
demand	ASK_REQUEST
demean	DOWNPLAY_HUMILIATE
demilitarize	REMOVE_TAKE-AWAY_KIDNAP
demobilize	DISMISS_FIRE-SMN
democratize	CHANGE-APPEARANCE/STATE
demolish	DESTROY
demonize	CHANGE-APPEARANCE/STATE
demonstrate	SHOW
demoralize	CAUSE-MENTAL-STATE
demote	ASSIGN-smt-to-smn
demur	CRITICIZE
denigrate	OFFEND_DISESTEEM
denominate	NAME
denounce	CRITICIZE
dent	BREAK_DETERIORATE
denude	REMOVE_TAKE-AWAY_KIDNAP
deny	REFUSE
depart	LEAVE_DEPART_RUN-AWAY
depend	RELY
depict	SHOW
deplete	CONSUME_SPEND
deplore	REGRET_SORRY
deploy	CIRCULATE_SPREAD_DISTRIBUTE
deport	MOVE-SOMETHING
depose	DISMISS_FIRE-SMN
deposit	PUT_APPLY_PLACE_PAVE
depreciate	DEBASE_ADULTERATE
depress	CAUSE-MENTAL-STATE	REDUCE_DIMINISH
deprive	STEAL_DEPRIVE
derail	STOP
derange	MESS
deregulate	LIBERATE_ALLOW_AFFORD
deride	JOKE
derive	CREATE_MATERIALIZE
descend	LOWER
describe	REPRESENT
desecrate	VIOLATE
desensitize	WEAKEN
desert	GIVE-UP_ABOLISH_ABANDON
deserve	EXIST-WITH-FEATURE
design	CREATE_MATERIALIZE
designate	NAME
desire	REQUIRE_NEED_WANT_HOPE
desist	ABSTAIN_AVOID_REFRAIN
despair	CAUSE-MENTAL-STATE
despise	DISLIKE
destabilize	MESS
destigmatize	LIBERATE_ALLOW_AFFORD
destine	PLAN_SCHEDULE
destroy	DESTROY
destruct	DESTROY
detach	SEPARATE_FILTER_DETACH
detail	EXPLAIN
detain	CAGE_IMPRISON
detect	FIND
deter	OPPOSE_REBEL_DISSENT
deteriorate	WORSEN
determine	DECIDE_DETERMINE
detest	DISLIKE
dethrone	DISMISS_FIRE-SMN
detract	REDUCE_DIMINISH
devalue	DEBASE_ADULTERATE
devastate	DESTROY
develop	CREATE_MATERIALIZE	BEGIN
deviate	TURN_CHANGE-DIRECTION
devise	ORGANIZE
devote	FOCUS
devour	EAT_BITE
diagnose	ANALYZE
diagram	PAINT
dial	MOUNT_ASSEMBLE_PRODUCE
dicker	NEGOTIATE
dictate	ORDER
die	WEAKEN	KILL
differ	DISTINGUISH_DIFFER
differentiate	DIVERSIFY
diffuse	CIRCULATE_SPREAD_DISTRIBUTE
dig	REMOVE_TAKE-AWAY_KIDNAP	EXTRACT
digest	EAT_BITE
dignify	APPROVE_PRAISE
dilute	DEBASE_ADULTERATE
dim	DIM
dime	CAUSE-MENTAL-STATE
diminish	REDUCE_DIMINISH
din	EAT_BITE
dine	EAT_BITE
dip	DIP_DIVE	REDUCE_DIMINISH
direct	DIRECT_AIM_MANEUVER
disable	STOP
disadvantage	STOP
disagree	REFUSE
disallow	PRECLUDE_FORBID_EXPEL
disappear	LEAVE_DEPART_RUN-AWAY
disappoint	FRUSTRATE_DISAPPOINT
disapprove	REFUSE
disarm	STEAL_DEPRIVE
disassemble	DESTROY
disassociate	DISBAND_BREAK-UP
disavow	REFUSE
disband	DISBAND_BREAK-UP
disbelieve	REFUSE
disburse	PAY
discard	DISCARD
discern	PERCEIVE
discharge	CANCEL_ELIMINATE	LIBERATE_ALLOW_AFFORD
discipline	PUNISH
disclaim	REFUSE
disclose	REVEAL
discolor	COLOR
discomfit	CAUSE-MENTAL-STATE
disconnect	SEPARATE_FILTER_DETACH
discontinue	STOP
discount	REFUSE	DEBASE_ADULTERATE
discourage	CAUSE-MENTAL-STATE
discourse	SPEAK
discover	FIND
discredit	OFFEND_DISESTEEM
discriminate	UNDERSTAND	REFUSE
discuss	DISCUSS
disdain	DISLIKE
disembark	LAND_GET-OFF
disenchant	FRUSTRATE_DISAPPOINT
disenfranchise	STEAL_DEPRIVE
disengage	LIBERATE_ALLOW_AFFORD
disgorge	EMPTY_UNLOAD
disgrace	OFFEND_DISESTEEM
disgruntle	CAUSE-MENTAL-STATE
disguise	DECEIVE
disgust	DISLIKE
dish	GIVE_GIFT
disincline	CAUSE-MENTAL-STATE
disinherit	STEAL_DEPRIVE
disintegrate	SEPARATE_FILTER_DETACH
disinvite	CANCEL_ELIMINATE
dislike	DISLIKE
dismantle	DESTROY
dismay	CAUSE-MENTAL-STATE
dismember	SEPARATE_FILTER_DETACH
dismiss	NAME	DISMISS_FIRE-SMN
disobey	OPPOSE_REBEL_DISSENT
disorient	ORIENT
disown	REFUSE
disparage	CRITICIZE
dispatch	SEND
dispel	DRIVE-BACK
dispense	GIVE-UP_ABOLISH_ABANDON	GIVE_GIFT
disperse	CIRCULATE_SPREAD_DISTRIBUTE
displace	REMOVE_TAKE-AWAY_KIDNAP
display	SHOW
displease	CAUSE-MENTAL-STATE
dispose	CAUSE-MENTAL-STATE	DISCARD
disprove	PROVE
dispute	QUARREL_POLEMICIZE
disqualify	CANCEL_ELIMINATE
disregard	DOWNPLAY_HUMILIATE
disrespect	OFFEND_DISESTEEM
disrupt	MESS
dissatisfy	CAUSE-MENTAL-STATE
dissect	ANALYZE
dissemble	CLOUD_SHADOW_HIDE
disseminate	CIRCULATE_SPREAD_DISTRIBUTE
dissent	OPPOSE_REBEL_DISSENT
dissimulate	CLOUD_SHADOW_HIDE
dissipate	LEAVE_DEPART_RUN-AWAY
dissociate	DISBAND_BREAK-UP
dissolve	DESTROY
dissuade	PERSUADE
distance	MOVE-BACK
distil	EXTRACT
distill	EXTRACT
distinguish	SEPARATE_FILTER_DETACH
distort	REPRESENT
distract	CAUSE-MENTAL-STATE
distress	CAUSE-MENTAL-STATE
distribute	CIRCULATE_SPREAD_DISTRIBUTE
distrust	RELY
disturb	CAUSE-MENTAL-STATE
dive	DIP_DIVE	REDUCE_DIMINISH
diverge	SEPARATE_FILTER_DETACH
diversify	DIVERSIFY
divert	TURN_CHANGE-DIRECTION
divest	REMOVE_TAKE-AWAY_KIDNAP
divide	SEPARATE_FILTER_DETACH	DIVIDE
divorce	DISBAND_BREAK-UP
divulge	REVEAL
divvy	SEPARATE_FILTER_DETACH
dizzy	CAUSE-MENTAL-STATE
do	AUXILIARY	LIGHT-VERB	CORRELATE	RESULT_CONSEQUENCE	KILL
dock	LAND_GET-OFF
document	LOAD_PROVIDE_CHARGE_FURNISH
dodge	ABSTAIN_AVOID_REFRAIN
doff	REMOVE_TAKE-AWAY_KIDNAP
dog	CHASE
dole	GIVE_GIFT
dollarize	CHANGE_SWITCH
dominate	LEAD_GOVERN
don	DRESS_WEAR
donate	GIVE_GIFT
doom	DECREE_DECLARE
dot	COVER_SPREAD_SURMOUNT
double	WORK	INCREASE_ENLARGE_MULTIPLY
doubt	BELIEVE
douse	WET
dovetail	FIT
down	KNOCK-DOWN
downgrade	REPLACE	WORSEN
downlink	TRANSMIT
download	TRANSMIT
downplay	DOWNPLAY_HUMILIATE
downsize	REDUCE_DIMINISH
doze	SLEEP
draft	CREATE_MATERIALIZE
drag	PULL
drain	EMPTY_UNLOAD
drape	COVER_SPREAD_SURMOUNT
draw	PAINT	OBTAIN	SHOW
dread	CAUSE-MENTAL-STATE
dream	THINK	CAUSE-MENTAL-STATE	IMAGINE
dredge	REMOVE_TAKE-AWAY_KIDNAP	SEARCH
drench	WET
dress	EMBELLISH	DRESS_WEAR	REPRIMAND
drift	TRAVEL
drill	HOLE_PIERCE	TEACH
drink	CELEBRATE_PARTY	DRINK
drip	SPILL_POUR	EXIST-WITH-FEATURE
drive	MOVE-BY-MEANS-OF
drone	MAKE-A-SOUND
drool	SPILL_POUR
drop	CONSUME_SPEND	EMPTY_UNLOAD	VISIT	GIVE-UP_ABOLISH_ABANDON	DROP	DISMISS_FIRE-SMN	SPEAK
drown	CLOUD_SHADOW_HIDE	DIP_DIVE	KILL
drug	GIVE_GIFT
drum	GROUP
dry	CONSUME_SPEND	DRY
dub	NAME
duck	ABSTAIN_AVOID_REFRAIN
duel	FIGHT
dull	DIM
dump	DISCARD
dupe	DECEIVE
duplicate	COPY
dust	WASH_CLEAN
dwarf	COMPARE
dwell	STAY_DWELL
dwindle	REDUCE_DIMINISH
dye	COLOR
dyke	ENCLOSE_WRAP
earmark	RETAIN_KEEP_SAVE-MONEY
earn	EARN
ease	MAKE-RELAX	SIMPLIFY	GO-FORWARD	REDUCE_DIMINISH
eat	CONSUME_SPEND	CORRODE_WEAR-AWAY_SCRATCH	EAT_BITE
eavesdrop	HEAR_LISTEN
ebb	REDUCE_DIMINISH
echo	REPEAT
eclipse	COMPARE
economize	RETAIN_KEEP_SAVE-MONEY
edge	GO-FORWARD	DEFEAT
edit	ADJUST_CORRECT
editorialize	SPEAK
educate	TEACH
eek	GO-FORWARD
effect	CAUSE-SMT
effectuate	CREATE_MATERIALIZE
eject	DRIVE-BACK
elaborate	EXPLAIN
elapse	SPEND-TIME_PASS-TIME
elect	CHOOSE
electrify	CAUSE-MENTAL-STATE
electrocute	KILL
electroplate	COVER_SPREAD_SURMOUNT
elevate	RAISE
elicit	AROUSE_WAKE_ENLIVEN
eliminate	CANCEL_ELIMINATE
elongate	EXTEND
elucidate	EXPLAIN
elude	ABSTAIN_AVOID_REFRAIN
email	COMMUNICATE_CONTACT
emanate	FLOW
emasculate	WEAKEN
embargo	STOP
embark	BEGIN
embarrass	CAUSE-MENTAL-STATE
embattle	PREPARE
embed	SECURE_FASTEN_TIE
embellish	EMBELLISH
embezzle	STEAL_DEPRIVE
emblazon	EMBELLISH
embody	REPRESENT
embolden	INCITE_INDUCE
emboss	WRITE
embrace	TOUCH	INCLUDE-AS
embroider	EMBELLISH
embroil	OBLIGE_FORCE
emerge	APPEAR	COME-FROM
emigrate	LEAVE_DEPART_RUN-AWAY
emit	EMIT
emote	PERFORM
emotion	FEEL
empathize	CAUSE-MENTAL-STATE
emphasize	EMPHASIZE
emplace	PUT_APPLY_PLACE_PAVE
employ	HIRE	USE
empower	AUTHORIZE_ADMIT
empty	EMPTY_UNLOAD
emulate	FACE_CHALLENGE
enable	HELP_HEAL_CARE_CURE
enact	ORDER
encapsulate	ENCLOSE_WRAP
encase	ENCLOSE_WRAP
enchain	STOP
enchant	ENCLOSE_WRAP
encircle	ENCLOSE_WRAP
enclose	ENCLOSE_WRAP
encode	CONVERT
encompass	INCLUDE-AS
encounter	FIND
encourage	FOLLOW_SUPPORT_SPONSOR_FUND	INCITE_INDUCE
encrypt	CONVERT
encumber	BURDEN_BEAR
end	RESULT_CONSEQUENCE	FINISH_CONCLUDE_END
endanger	ENDANGER
endeavor	TRY
endorse	FOLLOW_SUPPORT_SPONSOR_FUND
endow	GIVE_GIFT
endure	CONTINUE
energize	AROUSE_WAKE_ENLIVEN
enflame	AROUSE_WAKE_ENLIVEN
enforce	CARRY-OUT-ACTION
engage	CARRY-OUT-ACTION
engender	CREATE_MATERIALIZE
engineer	ORGANIZE
engrave	CAVE_CARVE
engulf	COVER_SPREAD_SURMOUNT
enhance	INCREASE_ENLARGE_MULTIPLY
enjoin	PRECLUDE_FORBID_EXPEL
enjoy	ENJOY
enlarge	INCREASE_ENLARGE_MULTIPLY
enlighten	EXPLAIN
enlist	ALLY_ASSOCIATE_MARRY
enliven	AROUSE_WAKE_ENLIVEN
enrage	CAUSE-MENTAL-STATE
enrich	AMELIORATE
enroll	HIRE
ensconce	STAY_DWELL
enshrine	ENCLOSE_WRAP
enslave	SUBJUGATE
ensnare	CATCH
ensue	RESULT_CONSEQUENCE
ensure	GUARANTEE_ENSURE_PROMISE
entail	IMPLY
entangle	STOP
enter	ENTER	PROPOSE
entertain	ENJOY	CONSIDER
enthrall	CAUSE-MENTAL-STATE
entice	LURE_ENTICE
entitle	NAME	AUTHORIZE_ADMIT
entomb	BURY_PLANT
entrance	LURE_ENTICE
entrench	SECURE_FASTEN_TIE
entrust	GIVE_GIFT
entwine	WEAVE
enumerate	EXPLAIN
envelop	ENCLOSE_WRAP
envisage	IMAGINE
envision	IMAGINE
envy	CAUSE-MENTAL-STATE
epitomize	REPRESENT
equal	MATCH
equate	COMPARE
equip	LOAD_PROVIDE_CHARGE_FURNISH
eradicate	CANCEL_ELIMINATE
erase	CANCEL_ELIMINATE
erect	MOUNT_ASSEMBLE_PRODUCE
erode	CORRODE_WEAR-AWAY_SCRATCH
err	MISTAKE
erupt	BEGIN	SPEAK
escalate	INCREASE_ENLARGE_MULTIPLY
escape	LEAVE_DEPART_RUN-AWAY
eschew	ABSTAIN_AVOID_REFRAIN
escort	ACCOMPANY
espouse	FOLLOW_SUPPORT_SPONSOR_FUND
establish	ESTABLISH
esteem	LIKE
estimate	CALCULATE_ESTIMATE
estrange	REMOVE_TAKE-AWAY_KIDNAP
etch	CAVE_CARVE
evacuate	REMOVE_TAKE-AWAY_KIDNAP
evade	ABSTAIN_AVOID_REFRAIN
evaluate	SUBJECTIVE-JUDGING
evaporate	CONVERT
even	FLATTEN_SMOOTHEN
evidence	PROVE
evince	SHOW
eviscerate	EMPTY_UNLOAD
evoke	AROUSE_WAKE_ENLIVEN
evolve	AMELIORATE
exacerbate	WORSEN
exact	ASK_REQUEST
exaggerate	INCREASE_ENLARGE_MULTIPLY
exalt	APPROVE_PRAISE
examine	ANALYZE
excavate	CAVE_CARVE
exceed	OVERCOME_SURPASS
excel	EXIST-WITH-FEATURE
except	MISS_OMIT_LACK
exchange	CONVERT
excise	REMOVE_TAKE-AWAY_KIDNAP
excite	AROUSE_WAKE_ENLIVEN
exclaim	SPEAK
exclude	STOP
excoriate	AFFIRM
excuse	PARDON
execute	CARRY-OUT-ACTION	KILL
exemplify	REPRESENT
exempt	EXEMPT
exercise	CARRY-OUT-ACTION	PREPARE
exert	INFLUENCE
exhale	EMIT
exhaust	EXHAUST
exhibit	SHOW
exhilarate	CAUSE-MENTAL-STATE
exhort	OBLIGE_FORCE
exhume	EXTRACT
exile	DRIVE-BACK
exist	EXIST_LIVE
exit	LEAVE_DEPART_RUN-AWAY
exonerate	SUBJECTIVE-JUDGING
exorcise	DRIVE-BACK
expand	INCREASE_ENLARGE_MULTIPLY
expect	GUESS
expedite	SPEED-UP
expel	CANCEL_ELIMINATE
expend	CONSUME_SPEND
experience	UNDERGO-EXPERIENCE
experiment	TRY
expire	FINISH_CONCLUDE_END
explain	EXPLAIN
explode	INCREASE_ENLARGE_MULTIPLY	FILL	EXPLODE
exploit	BENEFIT_EXPLOIT
explore	SEARCH
export	SELL
expose	SHOW
expound	EXPLAIN
express	SPEAK	SEND
expunge	CANCEL_ELIMINATE
extend	EXTEND
exterminate	CANCEL_ELIMINATE
extinguish	CANCEL_ELIMINATE
extol	APPROVE_PRAISE
extort	STEAL_DEPRIVE
extract	OBTAIN
extradite	DRIVE-BACK
extrapolate	CALCULATE_ESTIMATE
extricate	REMOVE_TAKE-AWAY_KIDNAP
exude	EXCRETE
eye	SEE
eyeball	SEE
fabricate	MOUNT_ASSEMBLE_PRODUCE
face	FACE_CHALLENGE
facilitate	SIMPLIFY
factor	CONSIDER
fade	DISAPPEAR
fail	FAIL_LOSE
faint	SLEEP
fake	FAKE
fall	QUARREL_POLEMICIZE	REDUCE_DIMINISH	BREAK_DETERIORATE	FAIL_LOSE	GO-FORWARD	HAPPEN_OCCUR	CHANGE_SWITCH
falsify	REPRESENT
falter	FAIL_LOSE
familiarize	LEARN
fan	AROUSE_WAKE_ENLIVEN
fancy	IMAGINE	REQUIRE_NEED_WANT_HOPE
fantasize	IMAGINE
fare	RESULT_CONSEQUENCE
farm	HIRE	GENERATE
fart	DELAY	EXCRETE
fascinate	LIKE
fashion	MOUNT_ASSEMBLE_PRODUCE
fast	DIET
fasten	SECURE_FASTEN_TIE
fate	DECREE_DECLARE
fathom	UNDERSTAND
fatten	INCREASE_ENLARGE_MULTIPLY
fault	ACCUSE
favor	LIKE
favour	LIKE
fax	SEND
fear	CAUSE-MENTAL-STATE
feast	EAT_BITE
feature	EXIST-WITH-FEATURE
feed	NOURISH_FEED	INCREASE_ENLARGE_MULTIPLY	CAUSE-MENTAL-STATE
feel	BELIEVE	FEEL
feign	SIMULATE
fell	KNOCK-DOWN
fence	ENCLOSE_WRAP
fend	ABSTAIN_AVOID_REFRAIN
ferment	SPOIL
ferret	FIND
ferry	CARRY_TRANSPORT
fertilize	AROUSE_WAKE_ENLIVEN
fess	RECOGNIZE_ADMIT_IDENTIFY
fester	EXCRETE
festoon	EMBELLISH
fetch	BRING
feud	QUARREL_POLEMICIZE
fiddle	TOUCH
fidget	MOVE-ONESELF
field	ANSWER
fight	DRIVE-BACK	FIGHT	RESIST
figure	CALCULATE_ESTIMATE	DECIDE_DETERMINE	IMAGINE	HAVE-A-FUNCTION_SERVE
filch	STEAL_DEPRIVE
file	GO-FORWARD	RETAIN_KEEP_SAVE-MONEY	REQUIRE_NEED_WANT_HOPE
filibuster	STOP
fill	SATISFY_FULFILL	FILL	AMELIORATE	REPLACE	INFORM
film	RECORD
filter	SEPARATE_FILTER_DETACH	FLOW
finagle	DECEIVE
finalize	FINISH_CONCLUDE_END
finance	PAY
find	KNOW	FIND	DECREE_DECLARE
fine	PUNISH
finesse	AMELIORATE
finger	TOUCH	FIND	ACCUSE
finish	FINISH_CONCLUDE_END	EMBELLISH
fire	DESTROY	SHOOT_LAUNCH_PROPEL	DISMISS_FIRE-SMN	BURN
firm	TIGHTEN
fish	HUNT
fit	FIT
fix	REPAIR_REMEDY	ESTABLISH	PREPARE
fizz	CHANGE-APPEARANCE/STATE
fizzle	FINISH_CONCLUDE_END
flabbergast	CAUSE-MENTAL-STATE
flag	REDUCE_DIMINISH
flame	BURN
flank	BE-LOCATED_BASE
flap	MOVE-ONESELF
flare	BEGIN
flash	MOVE-BACK	RUN	SHOW
flatten	FLATTEN_SMOOTHEN
flatter	FLATTER
flaunt	SHOW
flaw	BREAK_DETERIORATE
flay	REMOVE_TAKE-AWAY_KIDNAP
flee	LEAVE_DEPART_RUN-AWAY
fleece	REQUIRE_NEED_WANT_HOPE
flex	BEND
flicker	LIGHT_SHINE
flinch	MOVE-BACK
fling	THROW
flip	INVERT_REVERSE
flirt	COURT
float	MOVE-SOMETHING
flock	GROUP	GO-FORWARD
flog	HIT
flood	FILL
flop	FALL_SLIDE-DOWN
flounder	BEHAVE
flourish	AMELIORATE
flout	REFUSE
flow	FLOW
flower	GROW_PLOW
fluctuate	MOVE-ONESELF
flunk	FAIL_LOSE
flush	WASH_CLEAN
flutter	TRAVEL
fly	FLY
foam	CHANGE-APPEARANCE/STATE
focus	FOCUS
fog	CLOUD_SHADOW_HIDE
foil	PRECLUDE_FORBID_EXPEL
foist	BURDEN_BEAR
fold	FINISH_CONCLUDE_END	CREATE_MATERIALIZE	COMBINE_MIX_UNITE
follow	FINISH_CONCLUDE_END	SIMULATE	IMPLY	COME-AFTER_FOLLOW-IN-TIME	FOLLOW_SUPPORT_SPONSOR_FUND
foment	AROUSE_WAKE_ENLIVEN
fondle	TOUCH
fool	JOKE	DECEIVE
foot	PAY
forbid	PRECLUDE_FORBID_EXPEL
force	OBLIGE_FORCE	PERSUADE
foreclose	REMOVE_TAKE-AWAY_KIDNAP
foresee	UNDERSTAND
foreshadow	SIGNAL_INDICATE
foretell	GUESS
forfeit	GIVE-UP_ABOLISH_ABANDON
forge	MOUNT_ASSEMBLE_PRODUCE	FAKE
forget	FORGET
forgive	PARDON
forgo	GIVE-UP_ABOLISH_ABANDON
fork	PAY
form	MOUNT_ASSEMBLE_PRODUCE	INCLUDE-AS
formalize	CREATE_MATERIALIZE
formulate	CREATE_MATERIALIZE
forsake	GIVE-UP_ABOLISH_ABANDON
fortify	STRENGTHEN_MAKE-RESISTANT
forward	SEND
foster	INCREASE_ENLARGE_MULTIPLY
foul	VIOLATE
found	ESTABLISH
founder	FAIL_LOSE
fraction	SEPARATE_FILTER_DETACH
fracture	BREAK_DETERIORATE
fragment	BREAK_DETERIORATE
frame	ENCLOSE_WRAP	ACCUSE	SPEAK	PLAN_SCHEDULE
franchise	AUTHORIZE_ADMIT
fray	CORRODE_WEAR-AWAY_SCRATCH
freak	CAUSE-MENTAL-STATE
free	LIBERATE_ALLOW_AFFORD
freelance	WORK
freeze	COOL	STOP
frequent	VISIT
fret	CAUSE-MENTAL-STATE
frighten	DRIVE-BACK	CAUSE-MENTAL-STATE
fritter	WASTE
frock	DRESS_WEAR
frolic	BEHAVE
froth	EMIT
frown	FACIAL-EXPRESSION
frustrate	TREAT
fry	COOK
fuck	HAVE-SEX	MESS
fudge	FAKE
fuel	AROUSE_WAKE_ENLIVEN
fulfill	SATISFY_FULFILL
fume	CAUSE-MENTAL-STATE
function	HAVE-A-FUNCTION_SERVE
fund	FOLLOW_SUPPORT_SPONSOR_FUND
funnel	SPILL_POUR
furlough	DISMISS_FIRE-SMN
furnish	LOAD_PROVIDE_CHARGE_FURNISH
furrow	PRESS_PUSH_FOLD
further	INCREASE_ENLARGE_MULTIPLY
fuse	COMBINE_MIX_UNITE
fuss	CAUSE-MENTAL-STATE
gag	HURT_HARM_ACHE
gain	INCREASE_ENLARGE_MULTIPLY	OBTAIN
gallop	RUN
galvanize	AROUSE_WAKE_ENLIVEN	INCITE_INDUCE	COVER_SPREAD_SURMOUNT
gamble	BID
gape	SEE
garden	WORK
garner	TAKE
gas	FILL
gasp	BREATH_BLOW
gather	AMASS
gauge	CALCULATE_ESTIMATE
gaze	SEE
gear	HARMONIZE	PREPARE
generalize	INFER
generate	GENERATE
germinate	GROW_PLOW
gesture	SIGN
get	CONTINUE	MOUNT_ASSEMBLE_PRODUCE	COMMUNICATE_CONTACT	MANAGE	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND	MOVE-SOMETHING	POSSESS	MUST	MEET	OBTAIN	BEGIN	PUNISH	BEFRIEND	FACE_CHALLENGE	INCITE_INDUCE	CHANGE_SWITCH
gift	GIVE_GIFT
giggle	LAUGH
gird	PREPARE
give	GIVE_GIFT	CHANGE-HANDS	BREAK_DETERIORATE	EMIT	GIVE-UP_ABOLISH_ABANDON	HAPPEN_OCCUR	GIVE-BIRTH
glamorize	EMBELLISH
